dataset,recording,item,reason
ds004703,sub-SD010_ses-01_task-PassiveListen,C200,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C201,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C202,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C203,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C204,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C205,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C206,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C207,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C208,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C209,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C210,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C211,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C212,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C213,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C214,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C215,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C216,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C217,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C218,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C219,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C220,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C221,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C222,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C223,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C224,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C225,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C226,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C227,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C228,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C229,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C230,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C231,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C232,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C233,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C234,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C235,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C236,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C237,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C238,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C239,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C240,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C241,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C242,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C243,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C244,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C245,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C246,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C247,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C248,README unused C-prefix channel; exclude at S06
ds004703,sub-SD010_ses-01_task-PassiveListen,C249,README unused C-prefix channel; exclude at S06
