dataset,recording,subject,session,trial,story,n_events,source_events,audio_candidates,audio_path,labels_match,offset_s,max_residual_s,status,physical_audio_sync
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,30,s1401a-ex02,434,434,2,UNKNOWN,True,1739.13901988,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,31,s3703b-ex01,408,408,2,UNKNOWN,True,1785.41219157,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,32,s3301a-ex02,406,406,2,UNKNOWN,True,1835.81255017,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,33,pleasePressSpace,31,31,2,UNKNOWN,True,1884.0595511200013,5.6843418860808015e-12,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,34,catalan-f02,437,437,3,UNKNOWN,True,1928.0652600100009,5.9117155615240335e-12,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,35,s3102b-ex01,159,159,2,UNKNOWN,True,1945.6163427,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,36,s0702a-ex01,370,370,2,UNKNOWN,True,1994.25684646,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,37,s0202b-ex01,671,671,2,UNKNOWN,True,2033.60793891,2.2737367544323206e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,38,s1604a-ex01,539,539,2,UNKNOWN,True,2101.68571531,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,39,s2801a-ex01,743,743,2,UNKNOWN,True,2159.06581212,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,40,s3802a-ex01,362,362,2,UNKNOWN,True,2227.87508667,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,41,s3902a-ex01,312,312,2,UNKNOWN,True,2275.05796964,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD010_ses-01_task-PassiveListen,sub-SD010,ses-01,42,s2102a-ex03,346,346,2,UNKNOWN,True,2321.84598727,4.547473508864641e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,0,welcome,20,20,2,UNKNOWN,True,2.76896173954,5.329070518200751e-15,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,1,instructions1,377,377,2,UNKNOWN,True,23.5354237767,5.684341886080802e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,2,instructions3,70,70,2,UNKNOWN,True,89.5666089943,5.684341886080802e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,3,s3602b-ex01,318,318,2,UNKNOWN,True,96.61638868629996,9.947598300641403e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,4,s1901b-ex01,406,406,2,UNKNOWN,True,153.090049069,2.842170943040401e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,5,s2102a-ex01,295,295,2,UNKNOWN,True,205.264857057,2.842170943040401e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,6,s3001b-ex01,485,485,2,UNKNOWN,True,247.23772874600002,5.684341886080802e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,7,s2301a-ex01,206,206,2,UNKNOWN,True,309.742121364,5.684341886080802e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,8,s4002b-ex01,390,390,2,UNKNOWN,True,342.978633983,5.684341886080802e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,9,s1401a-ex01,415,415,2,UNKNOWN,True,386.450408859,5.684341886080802e-14,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,10,pleasePressSpace,31,31,2,UNKNOWN,True,431.39791229900004,5.684341886080801e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,11,catalan-m01,468,468,3,UNKNOWN,True,478.40469373800005,6.252776074688882e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,12,s1303a-ex01,311,311,2,UNKNOWN,True,491.041828625,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,13,s3903b-ex01,301,301,2,UNKNOWN,True,566.182515829,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,14,s0703b-ex01,419,419,2,UNKNOWN,True,601.02830356,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,15,s2102a-ex02,373,373,2,UNKNOWN,True,649.250489389,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,16,s3301a-ex01,255,255,2,UNKNOWN,True,692.111505529,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,17,s4003b-ex01,305,305,2,UNKNOWN,True,726.094995332,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,18,s2202b-ex02,444,444,2,UNKNOWN,True,760.4858796450001,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,19,s3602b-ex02,288,288,2,UNKNOWN,True,828.40094444,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
ds004703,sub-SD011_ses-01_task-PassiveListen,sub-SD011,ses-01,20,s1201a-ex01,437,437,2,UNKNOWN,True,868.834315262,1.1368683772161603e-13,HOLD,UNKNOWN: metadata alignment only
