format,expected,expected_bytes,downloaded_size_match,format_checked,format_hold
.apr,896,5968299,506,484,0
.apx,59,574213,0,0,0
.bdf.gz,660,84312061678,0,0,0
.data_dict,73,22113079798,73,73,1
.docx,4,65849769,0,0,0
.json,10,143046,10,10,0
.md,1,874,1,1,0
.npy,739,18798219432,739,739,0
.npz.gz,204,10670759642,0,0,0
.tsv,1467,233085,1467,1467,0
.txt,13,803,13,13,0
.xml,15,139049,0,0,0
TEXT_OTHER,1,361,1,1,0
