recording,channel,type,original_unit,mne_data_unit,samples,nonfinite,min_value,max_value,eligible,reasons,scan
sub-SD010_ses-01_task-PassiveListen,LAC7,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00044967289234760057,0.0009675344319829098,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LAC8,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0004837007553215839,0.001212907225146868,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LAC9,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0005610609750514992,0.0015000173189898527,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LAC10,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00037204682993820096,0.00020110998702983134,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LOF1,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0007894198367284657,0.000865716685740444,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LOF2,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0004709403067063401,0.0015260699015793085,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LOF3,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0003101054856183718,0.0006921214160372319,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LOF4,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0002901672846570535,0.0007293393911650263,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LOF5,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00028697717250324254,0.0009935870145723659,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LOF6,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0004116573891813535,0.0008726285954070343,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LOF7,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00046482592507820244,0.0010074108339055466,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LOF8,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00045206547646295874,0.000799521858548867,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LOF9,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0003473234607461662,0.00020881942473487448,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,LOF10,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0002455057145037003,0.00022583335622186615,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,ROF1,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0007027551232166019,0.0005113483939879454,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,ROF2,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00034705761806668194,0.0005533515373464561,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,ROF3,SEEG,uV,SI volts for voltage channels,2718016,0,-0.000424151995117113,0.0005408569314106965,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,ROF4,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00045817985809109635,0.0006179513084611276,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,ROF5,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00038294637979705503,0.000504436484321355,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,ROF6,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00035822301060502024,0.0005475029983978026,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,ROF7,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00035343784237430384,0.0005427178301670863,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,ROF8,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0003715151445792324,0.0006559668116273747,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,ROF9,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0004640283970397498,0.0010672254367895017,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,ROF10,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0005134751354238193,0.0015829602349889372,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RAC1,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0004868908674753948,0.00032711941710536355,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RAC2,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0004103281757839323,0.0002816603189135576,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RAC3,SEEG,uV,SI volts for voltage channels,2718016,0,-0.000276609308003357,0.00038480727855344466,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RAC4,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0002686340276188296,0.00039331424429694056,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RAC5,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0002572027924010071,0.0004725353627832455,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RAC6,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0004696110933089189,0.00046562345311665517,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RAC7,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00041963266956588085,0.0005254380560006103,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RAC8,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00517396314946212,0.008711,False,OFFICIAL_BAD:artifacts,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RAC9,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0003837439078355077,0.0007755960173952849,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RAC10,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0002965475089646754,0.00019233717860685126,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHT1,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0003350946974898909,0.00027421672388799873,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHT2,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00027262166781109333,0.0003768319981689173,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHT3,SEEG,uV,SI volts for voltage channels,2718016,0,-0.0005982789501792935,0.00041856929884794377,True,,ALL_SAMPLES
sub-SD010_ses-01_task-PassiveListen,RHT4,SEEG,uV,SI volts for voltage channels,2718016,0,-0.00020562931258106355,0.00021918728923476,True,,ALL_SAMPLES
