path,story,rate,frames,duration_s,channels,nonfinite,scan
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0703b-ex01_normed.wav,s0703b-ex01,44100,1721430,39.03469387755102,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0703b-ex01_question_normed.wav,s0703b-ex01_question,44100,136798,3.1019954648526076,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0802b-ex01_normed.wav,s0802b-ex01,44100,1322702,29.993242630385488,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0802b-ex01_question_normed.wav,s0802b-ex01_question,44100,195677,4.437120181405896,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0901b-ex01_normed.wav,s0901b-ex01,44100,1604187,36.376122448979594,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0901b-ex01_question_normed.wav,s0901b-ex01_question,44100,216819,4.916530612244898,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1001a-ex01_normed.wav,s1001a-ex01,44100,1837705,41.67131519274376,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1001a-ex01_question_normed.wav,s1001a-ex01_question,44100,147709,3.3494104308390025,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1103a-ex01_normed.wav,s1103a-ex01,44100,2411948,54.69269841269841,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1103a-ex01_question_normed.wav,s1103a-ex01_question,44100,160440,3.638095238095238,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1201a-ex01_normed.wav,s1201a-ex01,44100,1523961,34.556938775510204,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1201a-ex01_question_normed.wav,s1201a-ex01_question,44100,137025,3.107142857142857,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1202b-ex01_normed.wav,s1202b-ex01,44100,1520485,34.4781179138322,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1202b-ex01_question_normed.wav,s1202b-ex01_question,44100,153847,3.48859410430839,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1203a-ex01_normed.wav,s1203a-ex01,44100,1501980,34.05850340136055,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1203a-ex01_question_normed.wav,s1203a-ex01_question,44100,180219,4.086598639455782,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1303a-ex01_normed.wav,s1303a-ex01,44100,1508923,34.2159410430839,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1303a-ex01_question_normed.wav,s1303a-ex01_question,44100,220683,5.004149659863946,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1303a-ex02_normed.wav,s1303a-ex02,44100,1294117,29.345056689342403,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1303a-ex02_question_normed.wav,s1303a-ex02_question,44100,295021,6.689818594104309,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1401a-ex01_normed.wav,s1401a-ex01,44100,1556030,35.284126984126985,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1401a-ex01_question_normed.wav,s1401a-ex01_question,44100,170897,3.8752154195011337,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1401a-ex02_normed.wav,s1401a-ex02,44100,1613285,36.582426303854874,1,0,ALL_SAMPLES
/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1401a-ex02_question_normed.wav,s1401a-ex02_question,44100,169079,3.8339909297052155,1,0,ALL_SAMPLES
