story,canonical,alternative,same_shape,exact_waveform,max_abs_difference
s1001a-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s1001a-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1001a-ex01_normed.wav,True,True,0.0
s1303a-ex02,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s1303a-ex02_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1303a-ex02_normed.wav,True,True,0.0
s1401a-ex02,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s1401a-ex02_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1401a-ex02_normed.wav,True,True,0.0
s1501a-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s1501a-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1501a-ex01_normed.wav,True,True,0.0
s3201a-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s3201a-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3201a-ex01_normed.wav,True,True,0.0
s3301a-ex02,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s3301a-ex02_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3301a-ex02_normed.wav,True,True,0.0
s3703b-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s3703b-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3703b-ex01_normed.wav,True,True,0.0
s3903b-ex02,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s3903b-ex02_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3903b-ex02_normed.wav,True,True,0.0
catalan-f02,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/catalan-f02_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/catalan-f02_normed.wav,True,True,0.0
catalan-f02,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/catalan-f02_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/catalan_v2/catalan-f02_normed.wav,False,False,NOT_COMPARABLE
s0202b-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s0202b-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0202b-ex01_normed.wav,True,True,0.0
s0702a-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s0702a-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0702a-ex01_normed.wav,True,True,0.0
s1604a-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s1604a-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1604a-ex01_normed.wav,True,True,0.0
s2102a-ex03,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s2102a-ex03_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2102a-ex03_normed.wav,True,True,0.0
s2801a-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s2801a-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s2801a-ex01_normed.wav,True,True,0.0
s3102b-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s3102b-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3102b-ex01_normed.wav,True,True,0.0
s3802a-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s3802a-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3802a-ex01_normed.wav,True,True,0.0
s3902a-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s3902a-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s3902a-ex01_normed.wav,True,True,0.0
catalan-m03,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 5/catalan-m03_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/catalan-m03_normed.wav,False,False,NOT_COMPARABLE
catalan-m03,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 5/catalan-m03_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/catalan_v2/catalan-m03_normed.wav,False,False,NOT_COMPARABLE
s0203b-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 5/s0203b-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0203b-ex01_normed.wav,True,True,0.0
s0802b-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 5/s0802b-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s0802b-ex01_normed.wav,True,True,0.0
s1103a-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 5/s1103a-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1103a-ex01_normed.wav,True,True,0.0
s1202b-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 5/s1202b-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1202b-ex01_normed.wav,True,True,0.0
s1401b-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 5/s1401b-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1401b-ex01_normed.wav,True,True,0.0
s1503a-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 5/s1503a-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1503a-ex01_normed.wav,True,True,0.0
s1703b-ex01,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 5/s1703b-ex01_normed.wav,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/all_stimuli/s1703b-ex01_normed.wav,True,True,0.0
