dataset,subject,session,recording,trial,story,block,audio_path,n_events,labels_match,offset_s,offset_spread_s,audio_duration_s,template_margin_s,eligible,reason,physical_sync,split
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,15,s4003b-ex01,Block 2,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s4003b-ex01_normed.wav,305,True,1038.54517706,4.547473508864641e-13,25.393945578231293,0.37263357823129084,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,16,s3602b-ex02,Block 2,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s3602b-ex02_normed.wav,288,True,1083.34800461,2.2737367544323206e-13,32.8990022675737,0.664101267573713,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,17,s2102a-ex02,Block 2,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s2102a-ex02_normed.wav,373,True,1125.10687633,2.2737367544323206e-13,36.367437641723356,0.42374164172333195,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,18,s3903b-ex01,Block 2,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s3903b-ex01_normed.wav,301,True,1169.65011934,2.2737367544323206e-13,26.25294784580499,0.42762184580498186,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,19,s2202b-ex02,Block 2,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s2202b-ex02_normed.wav,444,True,1205.64022068,4.547473508864641e-13,54.52736961451247,0.4984836145125513,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,20,s1201a-ex01,Block 2,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/s1201a-ex01_normed.wav,437,True,1271.36572557,4.547473508864641e-13,34.556938775510204,0.8936967755101435,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,21,pleasePressSpace,NOT_APPLICABLE,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/pleasePressSpace_normed.wav,31,True,1316.0060297900013,9.322320693172514e-12,3.44312925170068,0.520682459428583,False,CONTROL_NOT_PASSAGE,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,22,catalan-f01,Block 2,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 2/catalan-f01_normed.wav,428,True,1363.0137532199997,1.000444171950221e-11,3.44312925170068,-43.07952875085857,False,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,23,s1303a-ex02,Block 3,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s1303a-ex02_normed.wav,211,True,1379.4955315,2.2737367544323206e-13,29.345056689342403,0.4735216893423697,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,24,s1501a-ex01,Block 3,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s1501a-ex01_normed.wav,404,True,1427.63795475,2.2737367544323206e-13,43.13843537414966,0.39443137414964013,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,25,s3201a-ex01,Block 3,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s3201a-ex01_normed.wav,1105,True,1486.7497196,2.2737367544323206e-13,77.08981859410432,0.9081175941043398,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,26,s3903b-ex02,Block 3,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s3903b-ex02_normed.wav,325,True,1575.90704986,2.2737367544323206e-13,32.93675736961451,0.28081636961452006,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,27,pleasePressSpace,NOT_APPLICABLE,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/pleasePressSpace_normed.wav,31,True,1623.4619730500012,9.322320693172514e-12,3.44312925170068,0.520682459428583,False,CONTROL_NOT_PASSAGE,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,28,catalan-m02,Block 3,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/catalan-m02_normed.wav,451,True,1675.4699557999998,1.0231815394945443e-11,3.44312925170068,-47.25691404060684,False,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,29,s1001a-ex01,Block 3,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s1001a-ex01_normed.wav,541,True,1686.75610733,2.2737367544323206e-13,41.67131519274376,0.40497619274376007,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,30,s1401a-ex02,Block 3,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s1401a-ex02_normed.wav,434,True,1739.13901988,2.2737367544323206e-13,36.582426303854874,0.3221763038548602,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,31,s3703b-ex01,Block 3,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s3703b-ex01_normed.wav,408,True,1785.41219157,4.547473508864641e-13,35.371746031746035,0.9439180317460227,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,32,s3301a-ex02,Block 3,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 3/s3301a-ex02_normed.wav,406,True,1835.81255017,2.2737367544323206e-13,37.23800453514739,0.3500265351473786,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,33,pleasePressSpace,NOT_APPLICABLE,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/pleasePressSpace_normed.wav,31,True,1884.0595511200013,9.322320693172514e-12,3.44312925170068,0.520682459428583,False,CONTROL_NOT_PASSAGE,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,34,catalan-f02,Block 4,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/catalan-f02_normed.wav,437,True,1928.0652600100009,1.0231815394945443e-11,3.44312925170068,-39.73895634758179,False,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,35,s3102b-ex01,Block 4,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s3102b-ex01_normed.wav,159,True,1945.6163427,2.2737367544323206e-13,20.8018820861678,0.9805520861678012,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,36,s0702a-ex01,Block 4,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s0702a-ex01_normed.wav,370,True,1994.25684646,2.2737367544323206e-13,30.462244897959184,2.1873908979591796,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,37,s0202b-ex01,Block 4,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s0202b-ex01_normed.wav,671,True,2033.60793891,4.547473508864641e-13,56.91793650793651,0.2629365079365158,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,38,s1604a-ex01,Block 4,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s1604a-ex01_normed.wav,539,True,2101.68571531,4.547473508864641e-13,46.363628117913834,0.047940117913832125,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,39,s2801a-ex01,Block 4,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s2801a-ex01_normed.wav,743,True,2159.06581212,4.547473508864641e-13,60.9278231292517,0.5329001292516864,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,40,s3802a-ex01,Block 4,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s3802a-ex01_normed.wav,362,True,2227.87508667,4.547473508864641e-13,34.67619047619048,0.7401804761904316,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,41,s3902a-ex01,Block 4,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s3902a-ex01_normed.wav,312,True,2275.05796964,9.094947017729282e-13,31.55362811791383,0.3343071179138697,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD010,ses-01,sub-SD010_ses-01_task-PassiveListen,42,s2102a-ex03,Block 4,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 4/s2102a-ex03_normed.wav,346,True,2321.84598727,9.094947017729282e-13,45.27312925170068,0.9800462517006494,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD011,ses-01,sub-SD011_ses-01_task-PassiveListen,0,welcome,NOT_APPLICABLE,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/welcome_normed.wav,20,True,2.76896173954,9.769962616701378e-15,1.9793197278911565,0.21420958380994382,False,CONTROL_NOT_PASSAGE,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD011,ses-01,sub-SD011_ses-01_task-PassiveListen,1,instructions1,NOT_APPLICABLE,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/instructions1_normed.wav,377,True,23.5354237767,1.1013412404281553e-13,35.22081632653061,0.23920634694577103,False,CONTROL_NOT_PASSAGE,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD011,ses-01,sub-SD011_ses-01_task-PassiveListen,2,instructions3,NOT_APPLICABLE,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/instructions3_normed.wav,70,True,89.5666089943,1.1368683772161603e-13,6.248140589569161,0.3916587466441728,False,CONTROL_NOT_PASSAGE,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD011,ses-01,sub-SD011_ses-01_task-PassiveListen,3,s3602b-ex01,Block 1,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s3602b-ex01_normed.wav,318,True,96.61638868629996,1.9895196601282805e-13,35.60836734693878,0.602507346938701,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD011,ses-01,sub-SD011_ses-01_task-PassiveListen,4,s1901b-ex01,Block 1,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s1901b-ex01_normed.wav,406,True,153.090049069,5.684341886080802e-14,37.38761904761905,0.442163047619033,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
ds004703,sub-SD011,ses-01,sub-SD011_ses-01_task-PassiveListen,5,s2102a-ex01,Block 1,/home/fanyu/auditory_simulation_m6a/data/ds004703/v1.1.0/stimuli/excerpts/Block 1/s2102a-ex01_normed.wav,295,True,205.264857057,2.842170943040401e-14,28.18857142857143,1.2097834285714164,True,,UNKNOWN,UNASSIGNED_S01_REVIEW_REQUIRED
