dataset,record_kind,recording,server_raw_path,sample_rate_hz,samples,duration_s,channels,eligible_channels,nonfinite_samples,flat_channels,event_count,event_out_of_bounds,scan,raw_modified,filtering,rereference,resampling,source_recording,eeg_path,envelope_path,source_aliases,subject,session,story,status,eeg_tail_samples,envelope_tail_samples,tail_flag,rate_basis,offset_samples,time_scale,split,nonfinite,flat_eeg_channels,numerical_max_difference,physical_sync,historical_generator_version,error,relative_path,expected_bytes,format,records,sample_rates_hz,channel_names,physical_dimensions,physical_min,physical_max,digital_min,digital_max,calibration_valid,quality_status,all_samples_decoded,interpretation
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,60990,,,,,,,,,,,,,sub-001_ses-shortstories01_task-listeningActive_run-03_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-001/ses-shortstories01/sub-001_ses-shortstories01_task-listeningActive_run-03_desc-preproc-audio-audiobook_5_3_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_5_3_envelope.npy,sub-001_ses-shortstories01_task-listeningActive_run-03_eeg.bdf.gz,sub-001,ses-shortstories01,audiobook_5_3,PASS_VIRTUAL_INITIAL_QC,130,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,59958,,,,,,,,,,,,,sub-001_ses-shortstories01_task-listeningActive_run-04_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-001/ses-shortstories01/sub-001_ses-shortstories01_task-listeningActive_run-04_desc-preproc-audio-audiobook_1_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_1_envelope.npy,sub-001_ses-shortstories01_task-listeningActive_run-04_eeg.bdf.gz,sub-001,ses-shortstories01,audiobook_1,PASS_VIRTUAL_INITIAL_QC,138,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,50619,,,,,,,,,,,,,sub-001_ses-shortstories01_task-listeningActive_run-05_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-001/ses-shortstories01/sub-001_ses-shortstories01_task-listeningActive_run-05_desc-preproc-audio-audiobook_2_1_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_2_1_envelope.npy,sub-001_ses-shortstories01_task-listeningActive_run-05_eeg.bdf.gz,sub-001,ses-shortstories01,audiobook_2_1,PASS_VIRTUAL_INITIAL_QC,133,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,48747,,,,,,,,,,,,,sub-001_ses-shortstories01_task-listeningActive_run-06_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-001/ses-shortstories01/sub-001_ses-shortstories01_task-listeningActive_run-06_desc-preproc-audio-audiobook_2_2_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_2_2_envelope.npy,sub-001_ses-shortstories01_task-listeningActive_run-06_eeg.bdf.gz,sub-001,ses-shortstories01,audiobook_2_2,PASS_VIRTUAL_INITIAL_QC,2005,0,LARGE_TAIL_REVIEW,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,52060,,,,,,,,,,,,,sub-001_ses-shortstories01_task-listeningActive_run-07_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-001/ses-shortstories01/sub-001_ses-shortstories01_task-listeningActive_run-07_desc-preproc-audio-audiobook_4_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_4_envelope.npy,sub-001_ses-shortstories01_task-listeningActive_run-07_eeg.bdf.gz,sub-001,ses-shortstories01,audiobook_4,PASS_VIRTUAL_INITIAL_QC,164,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,61597,,,,,,,,,,,,,sub-001_ses-shortstories01_task-listeningActive_run-08_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-001/ses-shortstories01/sub-001_ses-shortstories01_task-listeningActive_run-08_desc-preproc-audio-audiobook_3_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_3_envelope.npy,sub-001_ses-shortstories01_task-listeningActive_run-08_eeg.bdf.gz,sub-001,ses-shortstories01,audiobook_3,PASS_VIRTUAL_INITIAL_QC,163,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,53350,,,,,,,,,,,,,sub-001_ses-shortstories01_task-listeningActive_run-09_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-001/ses-shortstories01/sub-001_ses-shortstories01_task-listeningActive_run-09_desc-preproc-audio-audiobook_6_1_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_6_1_envelope.npy,sub-001_ses-shortstories01_task-listeningActive_run-09_eeg.bdf.gz,sub-001,ses-shortstories01,audiobook_6_1,PASS_VIRTUAL_INITIAL_QC,90,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,53339,,,,,,,,,,,,,sub-001_ses-shortstories01_task-listeningActive_run-10_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-001/ses-shortstories01/sub-001_ses-shortstories01_task-listeningActive_run-10_desc-preproc-audio-audiobook_6_2_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_6_2_envelope.npy,sub-001_ses-shortstories01_task-listeningActive_run-10_eeg.bdf.gz,sub-001,ses-shortstories01,audiobook_6_2,PASS_VIRTUAL_INITIAL_QC,101,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,19223,,,,,,,,,,,,,sub-002_ses-shortstories01_task-listeningActive_run-01_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-002/ses-shortstories01/sub-002_ses-shortstories01_task-listeningActive_run-01_desc-preproc-audio-audiobook_1_artefact_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_1_artefact_envelope.npy,sub-002_ses-shortstories01_task-listeningActive_run-01_eeg.bdf.gz,sub-002,ses-shortstories01,audiobook_1_artefact,PASS_VIRTUAL_INITIAL_QC,105,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,61597,,,,,,,,,,,,,sub-002_ses-shortstories01_task-listeningActive_run-02_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-002/ses-shortstories01/sub-002_ses-shortstories01_task-listeningActive_run-02_desc-preproc-audio-audiobook_3_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_3_envelope.npy,sub-002_ses-shortstories01_task-listeningActive_run-02_eeg.bdf.gz,sub-002,ses-shortstories01,audiobook_3,PASS_VIRTUAL_INITIAL_QC,163,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,59958,,,,,,,,,,,,,sub-002_ses-shortstories01_task-listeningActive_run-03_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-002/ses-shortstories01/sub-002_ses-shortstories01_task-listeningActive_run-03_desc-preproc-audio-audiobook_1_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_1_envelope.npy,sub-002_ses-shortstories01_task-listeningActive_run-03_eeg.bdf.gz,sub-002,ses-shortstories01,audiobook_1,PASS_VIRTUAL_INITIAL_QC,138,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,50619,,,,,,,,,,,,,sub-002_ses-shortstories01_task-listeningActive_run-04_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-002/ses-shortstories01/sub-002_ses-shortstories01_task-listeningActive_run-04_desc-preproc-audio-audiobook_2_1_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_2_1_envelope.npy,sub-002_ses-shortstories01_task-listeningActive_run-04_eeg.bdf.gz,sub-002,ses-shortstories01,audiobook_2_1,PASS_VIRTUAL_INITIAL_QC,133,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,48747,,,,,,,,,,,,,sub-002_ses-shortstories01_task-listeningActive_run-05_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-002/ses-shortstories01/sub-002_ses-shortstories01_task-listeningActive_run-05_desc-preproc-audio-audiobook_2_2_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_2_2_envelope.npy,sub-002_ses-shortstories01_task-listeningActive_run-05_eeg.bdf.gz,sub-002,ses-shortstories01,audiobook_2_2,PASS_VIRTUAL_INITIAL_QC,2005,0,LARGE_TAIL_REVIEW,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,53350,,,,,,,,,,,,,sub-002_ses-shortstories01_task-listeningActive_run-06_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-002/ses-shortstories01/sub-002_ses-shortstories01_task-listeningActive_run-06_desc-preproc-audio-audiobook_6_1_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_6_1_envelope.npy,sub-002_ses-shortstories01_task-listeningActive_run-06_eeg.bdf.gz,sub-002,ses-shortstories01,audiobook_6_1,PASS_VIRTUAL_INITIAL_QC,90,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,53339,,,,,,,,,,,,,sub-002_ses-shortstories01_task-listeningActive_run-07_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-002/ses-shortstories01/sub-002_ses-shortstories01_task-listeningActive_run-07_desc-preproc-audio-audiobook_6_2_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_6_2_envelope.npy,sub-002_ses-shortstories01_task-listeningActive_run-07_eeg.bdf.gz,sub-002,ses-shortstories01,audiobook_6_2,PASS_VIRTUAL_INITIAL_QC,101,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,57991,,,,,,,,,,,,,sub-002_ses-shortstories01_task-listeningActive_run-08_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-002/ses-shortstories01/sub-002_ses-shortstories01_task-listeningActive_run-08_desc-preproc-audio-audiobook_5_1_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_5_1_envelope.npy,sub-002_ses-shortstories01_task-listeningActive_run-08_eeg.bdf.gz,sub-002,ses-shortstories01,audiobook_5_1,PASS_VIRTUAL_INITIAL_QC,185,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,58219,,,,,,,,,,,,,sub-002_ses-shortstories01_task-listeningActive_run-09_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-002/ses-shortstories01/sub-002_ses-shortstories01_task-listeningActive_run-09_desc-preproc-audio-audiobook_5_2_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_5_2_envelope.npy,sub-002_ses-shortstories01_task-listeningActive_run-09_eeg.bdf.gz,sub-002,ses-shortstories01,audiobook_5_2,PASS_VIRTUAL_INITIAL_QC,149,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,60990,,,,,,,,,,,,,sub-002_ses-shortstories01_task-listeningActive_run-10_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-002/ses-shortstories01/sub-002_ses-shortstories01_task-listeningActive_run-10_desc-preproc-audio-audiobook_5_3_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_5_3_envelope.npy,sub-002_ses-shortstories01_task-listeningActive_run-10_eeg.bdf.gz,sub-002,ses-shortstories01,audiobook_5_3,PASS_VIRTUAL_INITIAL_QC,130,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,52060,,,,,,,,,,,,,sub-002_ses-shortstories01_task-listeningActive_run-11_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-002/ses-shortstories01/sub-002_ses-shortstories01_task-listeningActive_run-11_desc-preproc-audio-audiobook_4_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_4_envelope.npy,sub-002_ses-shortstories01_task-listeningActive_run-11_eeg.bdf.gz,sub-002,ses-shortstories01,audiobook_4,PASS_VIRTUAL_INITIAL_QC,164,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,57991,,,,,,,,,,,,,sub-003_ses-shortstories01_task-listeningActive_run-01_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-003/ses-shortstories01/sub-003_ses-shortstories01_task-listeningActive_run-01_desc-preproc-audio-audiobook_5_1_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_5_1_envelope.npy,sub-003_ses-shortstories01_task-listeningActive_run-01_eeg.bdf.gz,sub-003,ses-shortstories01,audiobook_5_1,PASS_VIRTUAL_INITIAL_QC,185,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,58219,,,,,,,,,,,,,sub-003_ses-shortstories01_task-listeningActive_run-02_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-003/ses-shortstories01/sub-003_ses-shortstories01_task-listeningActive_run-02_desc-preproc-audio-audiobook_5_2_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_5_2_envelope.npy,sub-003_ses-shortstories01_task-listeningActive_run-02_eeg.bdf.gz,sub-003,ses-shortstories01,audiobook_5_2,PASS_VIRTUAL_INITIAL_QC,149,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
SparrKULee,PUBLISHED_EEG_VIRTUAL_VIEW,,,64,60990,,,,,,,,,,,,,sub-003_ses-shortstories01_task-listeningActive_run-03_eeg.bdf.gz,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_eeg/sub-003/ses-shortstories01/sub-003_ses-shortstories01_task-listeningActive_run-03_desc-preproc-audio-audiobook_5_3_eeg.npy,/home/fanyu/auditory_simulation_m6a/pub_01/s06/sparrkulee_v3.1/raw/derivatives/preprocessed_stimuli/audiobook_5_3_envelope.npy,sub-003_ses-shortstories01_task-listeningActive_run-03_eeg.bdf.gz,sub-003,ses-shortstories01,audiobook_5_3,PASS_VIRTUAL_INITIAL_QC,130,0,WITHIN_3S_ADVISORY,PUBLISHER_CONSUMPTION_CONTRACT,0,1,UNASSIGNED,0,0,0.0,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,,
