source_recording,official_reason,derivative_references
sub-006_ses-shortstories01_task-listeningActive_run-06_eeg.bdf.gz,README insufficient triggers; cannot accurately align,0
sub-017_ses-shortstories01_task-listeningActive_run-03_eeg.bdf.gz,README insufficient triggers; cannot accurately align,0
sub-048_ses-varyingStories05_task-listeningActive_run-04_eeg.bdf.gz,README insufficient triggers; cannot accurately align,0
