variant,seed,epoch,train_loss,validation_loss,status
early_downsample,11,1,4.1568135768175125,3.9079588055610657,PASS
early_downsample,11,2,3.8529906570911407,3.834019422531128,PASS
early_downsample,11,3,3.823878437280655,3.835667669773102,PASS
early_downsample,11,4,3.819790869951248,3.8319079875946045,PASS
early_downsample,11,5,3.8112532198429108,3.8120965361595154,PASS
early_downsample,11,6,3.7681913673877716,3.811175048351288,PASS
early_downsample,11,7,3.706743538379669,3.7526814937591553,PASS
early_downsample,11,8,3.606865704059601,3.6433001160621643,PASS
early_downsample,22,1,4.155964657664299,3.9464829564094543,PASS
early_downsample,22,2,3.8488826602697372,3.8378416299819946,PASS
early_downsample,22,3,3.8196671456098557,3.8406010270118713,PASS
early_downsample,22,4,3.8115407675504684,3.810474991798401,PASS
early_downsample,22,5,3.7576299607753754,3.764396369457245,PASS
early_downsample,22,6,3.6747687309980392,3.8054877519607544,PASS
early_downsample,22,7,3.6447446197271347,3.6957868933677673,PASS
early_downsample,22,8,3.576228216290474,3.5613641142845154,PASS
early_downsample,33,1,4.1574511379003525,3.9174379110336304,PASS
early_downsample,33,2,3.8551240861415863,3.830568552017212,PASS
early_downsample,33,3,3.817235767841339,3.8418291211128235,PASS
early_downsample,33,4,3.7889805734157562,3.8071348667144775,PASS
early_downsample,33,5,3.7072359323501587,3.702922821044922,PASS
early_downsample,33,6,3.617191895842552,3.6391273140907288,PASS
early_downsample,33,7,3.524587109684944,3.616023898124695,PASS
early_downsample,33,8,3.475823298096657,3.4858522415161133,PASS
late_downsample,11,1,4.129501476883888,3.8937705159187317,PASS
late_downsample,11,2,3.850146248936653,3.843341112136841,PASS
late_downsample,11,3,3.82407346367836,3.837352454662323,PASS
late_downsample,11,4,3.8030199259519577,3.7789196968078613,PASS
late_downsample,11,5,3.7244337052106857,3.710650324821472,PASS
late_downsample,11,6,3.598129153251648,3.6937330961227417,PASS
late_downsample,11,7,3.5289530903100967,3.6072463989257812,PASS
late_downsample,11,8,3.487937331199646,3.654396414756775,PASS
late_downsample,22,1,4.1462200582027435,3.9017953872680664,PASS
late_downsample,22,2,3.845813289284706,3.839635670185089,PASS
late_downsample,22,3,3.821563199162483,3.854172945022583,PASS
late_downsample,22,4,3.8211208432912827,3.819813847541809,PASS
late_downsample,22,5,3.791601687669754,3.806688666343689,PASS
late_downsample,22,6,3.7255910336971283,3.707461178302765,PASS
late_downsample,22,7,3.6338141560554504,3.784384310245514,PASS
late_downsample,22,8,3.576350823044777,3.5882577300071716,PASS
late_downsample,33,1,4.1446096152067184,3.9363250732421875,PASS
late_downsample,33,2,3.849791094660759,3.8276233673095703,PASS
late_downsample,33,3,3.8204203695058823,3.8529539108276367,PASS
late_downsample,33,4,3.82490012049675,3.842065989971161,PASS
late_downsample,33,5,3.807827666401863,3.787881016731262,PASS
late_downsample,33,6,3.7220543026924133,3.736010730266571,PASS
