variant,seed,magnitude_ms,probe,metric,value
late_downsample,22,50.0,generalization,generalization_jitter_mae_ms,48.19560623168945
late_downsample,22,50.0,generalization,generalization_relative_jitter_error,0.9639121294021606
late_downsample,33,10.0,localization,localization_onset_mae_ms,85.86759948730469
late_downsample,33,10.0,localization,localization_shift_recovery_mae_ms,8.760233879089355
late_downsample,33,10.0,discrimination,discrimination_balanced_accuracy,0.49566030791878796
late_downsample,33,10.0,generalization,generalization_jitter_mae_ms,7.761937141418457
late_downsample,33,10.0,generalization,generalization_relative_jitter_error,0.7761937379837036
late_downsample,33,20.0,localization,localization_onset_mae_ms,87.56796264648438
late_downsample,33,20.0,localization,localization_shift_recovery_mae_ms,19.997440338134766
late_downsample,33,20.0,discrimination,discrimination_balanced_accuracy,0.5130447490270279
late_downsample,33,20.0,generalization,generalization_jitter_mae_ms,17.789709091186523
late_downsample,33,20.0,generalization,generalization_relative_jitter_error,0.8894854784011841
late_downsample,33,50.0,localization,localization_onset_mae_ms,94.32717895507812
late_downsample,33,50.0,localization,localization_shift_recovery_mae_ms,48.617332458496094
late_downsample,33,50.0,discrimination,discrimination_balanced_accuracy,0.48580737711172495
late_downsample,33,50.0,generalization,generalization_jitter_mae_ms,47.75468444824219
late_downsample,33,50.0,generalization,generalization_relative_jitter_error,0.9550936818122864
uniform_local,11,10.0,localization,localization_onset_mae_ms,85.53858947753906
uniform_local,11,10.0,localization,localization_shift_recovery_mae_ms,10.039484977722168
uniform_local,11,10.0,discrimination,discrimination_balanced_accuracy,0.5
uniform_local,11,10.0,generalization,generalization_jitter_mae_ms,8.38348388671875
uniform_local,11,10.0,generalization,generalization_relative_jitter_error,0.838348388671875
uniform_local,11,20.0,localization,localization_onset_mae_ms,86.35565185546875
uniform_local,11,20.0,localization,localization_shift_recovery_mae_ms,20.08257293701172
uniform_local,11,20.0,discrimination,discrimination_balanced_accuracy,0.5
uniform_local,11,20.0,generalization,generalization_jitter_mae_ms,18.390281677246094
uniform_local,11,20.0,generalization,generalization_relative_jitter_error,0.9195140600204468
uniform_local,11,50.0,localization,localization_onset_mae_ms,92.26124572753906
uniform_local,11,50.0,localization,localization_shift_recovery_mae_ms,49.976226806640625
uniform_local,11,50.0,discrimination,discrimination_balanced_accuracy,0.5
uniform_local,11,50.0,generalization,generalization_jitter_mae_ms,48.38182830810547
