variant,magnitude_ms,probe,metric,mean,std,n_seeds
explicit_change,50.0,localization,localization_onset_mae_ms,91.83026885986328,1.8740441249653024,3
explicit_change,50.0,localization,localization_shift_recovery_mae_ms,49.99417622884115,0.007568203952690613,3
exponential_growth,10.0,discrimination,discrimination_balanced_accuracy,0.5041352307346296,0.023778272245967954,3
exponential_growth,10.0,generalization,generalization_jitter_mae_ms,8.168460369110107,0.16347607599447214,3
exponential_growth,10.0,generalization,generalization_relative_jitter_error,0.8168460528055826,0.01634760076948463,3
exponential_growth,10.0,localization,localization_onset_mae_ms,87.97546641031902,2.9060247973993127,3
exponential_growth,10.0,localization,localization_shift_recovery_mae_ms,10.020696004231771,0.041115877469429005,3
exponential_growth,20.0,discrimination,discrimination_balanced_accuracy,0.4899369811456202,0.004046422413279665,3
exponential_growth,20.0,generalization,generalization_jitter_mae_ms,18.172868092854817,0.16235190015556192,3
exponential_growth,20.0,generalization,generalization_relative_jitter_error,0.9086434046427408,0.00811758568542986,3
exponential_growth,20.0,localization,localization_onset_mae_ms,89.88592783610027,3.3059575036675573,3
exponential_growth,20.0,localization,localization_shift_recovery_mae_ms,20.010623296101887,0.031060974624873436,3
exponential_growth,50.0,discrimination,discrimination_balanced_accuracy,0.5112421851552287,0.017195537333641445,3
exponential_growth,50.0,generalization,generalization_jitter_mae_ms,48.17178726196289,0.16205632119180738,3
exponential_growth,50.0,generalization,generalization_relative_jitter_error,0.9634357492129008,0.00324111708917356,3
exponential_growth,50.0,localization,localization_onset_mae_ms,99.25012461344402,4.2598974954227815,3
exponential_growth,50.0,localization,localization_shift_recovery_mae_ms,50.059959411621094,0.1364697411134626,3
kernel_15,10.0,discrimination,discrimination_balanced_accuracy,0.49740334089840316,0.003716998891156928,3
kernel_15,10.0,generalization,generalization_jitter_mae_ms,8.212639490763346,0.16373152183988604,3
kernel_15,10.0,generalization,generalization_relative_jitter_error,0.8212639490763346,0.016373169082124356,3
kernel_15,10.0,localization,localization_onset_mae_ms,93.21108754475911,8.182151420307026,3
kernel_15,10.0,localization,localization_shift_recovery_mae_ms,10.005828857421875,0.015655635828413735,3
kernel_15,20.0,discrimination,discrimination_balanced_accuracy,0.49906420334220414,0.002283065509236295,3
kernel_15,20.0,generalization,generalization_jitter_mae_ms,18.208263397216797,0.16924254566312047,3
kernel_15,20.0,generalization,generalization_relative_jitter_error,0.9104131658871969,0.008462145078130609,3
kernel_15,20.0,localization,localization_onset_mae_ms,96.05511220296223,8.923024841834485,3
kernel_15,20.0,localization,localization_shift_recovery_mae_ms,19.997170130411785,0.018298288288376773,3
kernel_15,50.0,discrimination,discrimination_balanced_accuracy,0.5003662612358265,0.006211653493583145,3
kernel_15,50.0,generalization,generalization_jitter_mae_ms,48.21227773030599,0.17101209545161902,3
kernel_15,50.0,generalization,generalization_relative_jitter_error,0.9642455577850342,0.0034202264984620288,3
kernel_15,50.0,localization,localization_onset_mae_ms,108.41859181722005,11.318921163521978,3
kernel_15,50.0,localization,localization_shift_recovery_mae_ms,50.07127888997396,0.04158386377649437,3
kernel_3,10.0,discrimination,discrimination_balanced_accuracy,0.49727044102312457,0.014410380733379446,3
kernel_3,10.0,generalization,generalization_jitter_mae_ms,8.147086143493652,0.2864805731090827,3
kernel_3,10.0,generalization,generalization_relative_jitter_error,0.8147086103757223,0.028648072278291303,3
kernel_3,10.0,localization,localization_onset_mae_ms,86.35102081298828,1.6194960276344463,3
kernel_3,10.0,localization,localization_shift_recovery_mae_ms,10.015527725219727,0.020839899488193734,3
kernel_3,20.0,discrimination,discrimination_balanced_accuracy,0.49336994477517804,0.0086665567774502,3
kernel_3,20.0,generalization,generalization_jitter_mae_ms,18.151346842447918,0.2801345796942663,3
kernel_3,20.0,generalization,generalization_relative_jitter_error,0.9075673421223959,0.014006721768842196,3
kernel_3,20.0,localization,localization_onset_mae_ms,87.59687805175781,2.4666979270871114,3
kernel_3,20.0,localization,localization_shift_recovery_mae_ms,20.028785705566406,0.04661530777110335,3
kernel_3,50.0,discrimination,discrimination_balanced_accuracy,0.49781769346986743,0.00579547547813518,3
kernel_3,50.0,generalization,generalization_jitter_mae_ms,48.146096547444664,0.28596215618796855,3
