variant,split,metric,mean,std,n_seeds
explicit_change,test_seen,regular_vs_jitter_balanced_accuracy,0.5025177386129549,0.014116160248442094,3
explicit_change,test_unseen,jitter_magnitude_mae_ms,2.5140904585520425,0.003335033090933659,3
explicit_change,test_unseen,omission_detection_balanced_accuracy,0.481390708588473,0.03223223821761986,3
explicit_change,test_unseen,onset_timing_error_ms,78.2891337076823,0.24314078281955243,3
explicit_change,test_unseen,phase_magnitude_mae_rad,0.7588363885879517,0.029579403738896514,3
explicit_change,test_unseen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
explicit_change,test_unseen,rate_mae_hz,2.0326141516367593,0.01868021769677503,3
explicit_change,test_unseen,regular_vs_jitter_balanced_accuracy,0.5017216995634262,0.005287451575937447,3
explicit_change,test_unseen,unseen_jitter_mae_ms,2.5140904585520425,0.003335033090933659,3
explicit_change,test_unseen,unseen_phase_magnitude_mae_rad,0.7588363885879517,0.029579403738896514,3
explicit_change,test_unseen,unseen_rate_mae_hz,2.0326141516367593,0.01868021769677503,3
exponential_growth,test_seen,jitter_magnitude_mae_ms,1.9687748750050862,0.04931085736824377,3
exponential_growth,test_seen,omission_detection_balanced_accuracy,0.4969558251316091,0.005992328833653801,3
exponential_growth,test_seen,onset_timing_error_ms,86.67821756998698,2.589059590094451,3
exponential_growth,test_seen,phase_magnitude_mae_rad,0.540112574895223,0.025025202553862324,3
exponential_growth,test_seen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
exponential_growth,test_seen,rate_discrimination_balanced_accuracy,0.3218646761734997,0.10015845996259512,3
exponential_growth,test_seen,rate_mae_hz,1.9557958443959553,0.05513916421038616,3
exponential_growth,test_seen,regular_vs_jitter_balanced_accuracy,0.4906309605554284,0.0066537078272692965,3
exponential_growth,test_unseen,jitter_magnitude_mae_ms,2.5319720109303794,0.00957698959394723,3
exponential_growth,test_unseen,omission_detection_balanced_accuracy,0.49494301668015533,0.014818754406422685,3
exponential_growth,test_unseen,onset_timing_error_ms,78.7806905110677,1.1589895324168533,3
exponential_growth,test_unseen,phase_magnitude_mae_rad,0.7527796427408854,0.04746407808934052,3
exponential_growth,test_unseen,phase_shift_detection_balanced_accuracy,0.5,0.0,3
exponential_growth,test_unseen,rate_mae_hz,2.0062228043874106,0.041401008929314254,3
exponential_growth,test_unseen,regular_vs_jitter_balanced_accuracy,0.4891881366701511,0.005058621513799326,3
exponential_growth,test_unseen,unseen_jitter_mae_ms,2.5319720109303794,0.00957698959394723,3
exponential_growth,test_unseen,unseen_phase_magnitude_mae_rad,0.7527796427408854,0.04746407808934052,3
exponential_growth,test_unseen,unseen_rate_mae_hz,2.0062228043874106,0.041401008929314254,3
kernel_15,test_seen,jitter_magnitude_mae_ms,1.9496037165323894,0.01583198324762433,3
kernel_15,test_seen,omission_detection_balanced_accuracy,0.4925408814628316,0.019413281737707812,3
kernel_15,test_seen,onset_timing_error_ms,90.98350016276042,7.317409707411173,3
