variant,seed,split,metric,value
late_downsample,22,test_seen,onset_timing_error_ms,90.79166412353516
late_downsample,22,test_seen,rate_mae_hz,1.5131843090057373
late_downsample,22,test_seen,jitter_magnitude_mae_ms,1.9332127571105957
late_downsample,22,test_seen,phase_magnitude_mae_rad,0.5363596081733704
late_downsample,22,test_unseen,unseen_rate_mae_hz,1.925310730934143
late_downsample,22,test_unseen,unseen_jitter_mae_ms,2.5193543434143066
late_downsample,22,test_unseen,unseen_phase_magnitude_mae_rad,0.7821704745292664
late_downsample,22,test_unseen,regular_vs_jitter_balanced_accuracy,0.529422615753551
late_downsample,22,test_unseen,omission_detection_balanced_accuracy,0.5861621390504985
late_downsample,22,test_unseen,phase_shift_detection_balanced_accuracy,0.5
late_downsample,22,test_unseen,onset_timing_error_ms,82.74059295654297
late_downsample,22,test_unseen,rate_mae_hz,1.925310730934143
late_downsample,22,test_unseen,jitter_magnitude_mae_ms,2.5193543434143066
late_downsample,22,test_unseen,phase_magnitude_mae_rad,0.7821704745292664
late_downsample,33,test_seen,rate_discrimination_balanced_accuracy,0.44901559714795003
late_downsample,33,test_seen,regular_vs_jitter_balanced_accuracy,0.5009002822919051
late_downsample,33,test_seen,omission_detection_balanced_accuracy,0.541718165865568
late_downsample,33,test_seen,phase_shift_detection_balanced_accuracy,0.5
late_downsample,33,test_seen,onset_timing_error_ms,85.70106506347656
late_downsample,33,test_seen,rate_mae_hz,1.5028672218322754
late_downsample,33,test_seen,jitter_magnitude_mae_ms,2.020404100418091
late_downsample,33,test_seen,phase_magnitude_mae_rad,0.5339909791946411
late_downsample,33,test_unseen,unseen_rate_mae_hz,1.9129271507263184
late_downsample,33,test_unseen,unseen_jitter_mae_ms,2.4980621337890625
late_downsample,33,test_unseen,unseen_phase_magnitude_mae_rad,0.723006010055542
late_downsample,33,test_unseen,regular_vs_jitter_balanced_accuracy,0.533895960154953
late_downsample,33,test_unseen,omission_detection_balanced_accuracy,0.6014552506604365
late_downsample,33,test_unseen,phase_shift_detection_balanced_accuracy,0.5
late_downsample,33,test_unseen,onset_timing_error_ms,78.06673431396484
late_downsample,33,test_unseen,rate_mae_hz,1.9129271507263184
late_downsample,33,test_unseen,jitter_magnitude_mae_ms,2.4980621337890625
late_downsample,33,test_unseen,phase_magnitude_mae_rad,0.723006010055542
uniform_local,11,test_seen,rate_discrimination_balanced_accuracy,0.21912923351158645
uniform_local,11,test_seen,regular_vs_jitter_balanced_accuracy,0.5
uniform_local,11,test_seen,omission_detection_balanced_accuracy,0.522194247348745
uniform_local,11,test_seen,phase_shift_detection_balanced_accuracy,0.5
