variant,seed,metric,value
kernel_15,11,temporal_persistence_autocorrelation,0.9939256841064286
kernel_15,22,no_fit_representation_distance,0.002047778107225895
kernel_15,22,event_triggered_response,0.23881334892939776
kernel_15,22,temporal_persistence_autocorrelation,0.9890905376236636
kernel_15,33,no_fit_representation_distance,0.0005435547791421413
kernel_15,33,event_triggered_response,0.060083879507146776
kernel_15,33,temporal_persistence_autocorrelation,0.9907873968503322
kernel_31,11,no_fit_representation_distance,0.002380894962698221
kernel_31,11,event_triggered_response,0.3227687464095652
kernel_31,11,temporal_persistence_autocorrelation,0.9983529849062969
kernel_31,22,no_fit_representation_distance,0.00557803176343441
kernel_31,22,event_triggered_response,0.007708207471296191
kernel_31,22,temporal_persistence_autocorrelation,0.9963665081039563
kernel_31,33,no_fit_representation_distance,0.00025947438552975655
kernel_31,33,event_triggered_response,0.003840031800791621
kernel_31,33,temporal_persistence_autocorrelation,0.9961333391018886
event_baseline,11,no_fit_representation_distance,0.00045713194413110614
event_baseline,11,event_triggered_response,0.029393356351647526
event_baseline,11,temporal_persistence_autocorrelation,0.8822520651547472
event_baseline,22,no_fit_representation_distance,0.00014752167044207454
event_baseline,22,event_triggered_response,0.05216754518914968
event_baseline,22,temporal_persistence_autocorrelation,0.9372342821503638
event_baseline,33,no_fit_representation_distance,6.201615906320512e-05
event_baseline,33,event_triggered_response,0.027401489089243114
event_baseline,33,temporal_persistence_autocorrelation,0.9443019341651373
explicit_change,11,no_fit_representation_distance,0.00014432247553486377
explicit_change,11,event_triggered_response,0.015480961475986987
explicit_change,11,temporal_persistence_autocorrelation,0.925835490530163
explicit_change,22,no_fit_representation_distance,0.00016937963664531708
explicit_change,22,event_triggered_response,0.0005939611583016813
explicit_change,22,temporal_persistence_autocorrelation,0.5909709493678721
explicit_change,33,no_fit_representation_distance,0.0004350526724010706
explicit_change,33,event_triggered_response,0.02160131646087393
explicit_change,33,temporal_persistence_autocorrelation,0.8651104428633067
ordinary_second_branch,11,no_fit_representation_distance,0.00010627232404658571
ordinary_second_branch,11,event_triggered_response,0.030433540523517877
ordinary_second_branch,11,temporal_persistence_autocorrelation,0.9274867492381731
ordinary_second_branch,22,no_fit_representation_distance,3.6311117582954466e-05
ordinary_second_branch,22,event_triggered_response,0.002891375799663365
ordinary_second_branch,22,temporal_persistence_autocorrelation,0.9618448928038683
ordinary_second_branch,33,no_fit_representation_distance,5.276240699458867e-05
ordinary_second_branch,33,event_triggered_response,0.03638882632367313
ordinary_second_branch,33,temporal_persistence_autocorrelation,0.9247229068112681
